,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0.39621,0.15996,0.46712,0.18459,1.1826,-0.29844,-0.44587,0.13879,-0.79038,-0.21838,-0.33809,-0.68331,-0.37921,-0.11752,0.042039,0.48018,-0.012653,-0.45736,-0.77084,-0.047438,0.31252,0.5868,0.11256,-0.25544,0.13935,-1.3885,0.66674,0.28422,0.14652,0.21721,3.2838,-0.064245,0.087545,0.059236,0.18729,-0.7151,-0.45676,0.42607,-0.075389,-0.21992,-0.12417,0.12843,0.33174,0.089882,-0.15063,-0.08294,-0.066774,-0.19275,0.24453,-0.28937,0.14603,-0.081419,0.4117,-0.58313,0.66548,-0.5952,-0.095768,0.14289,0.62281,0.289,0.017688,0.10001,0.090673,1.0691,0.49732,1.14,-0.40264,0.71194,0.49728,-0.1562,0.73807,-0.029798,0.38105,0.77741,-0.19549,-0.18279,-0.537,1.0054,1.3553,-0.42051,0.061696,0.77587,-0.3022,0.8027,0.41015,1.2914,0.25042,0.58813,0.85505,0.082704,0.45588,0.15067,-0.63724,0.24472,0.24008,0.69516,0.65533,-0.010101,-0.17204,-0.2411
11,0.25322,-0.34355,0.79544,-0.67276,0.030686,0.5094,-0.4479,-0.18801,-0.017476,-0.34959,-0.52884,-0.15356,-0.16261,0.14659,0.48336,0.38471,0.2326,-0.37369,0.10151,-1.0127,0.37486,-0.78136,0.314,-0.61849,-0.62249,-1.2987,0.37412,0.84641,0.38115,-0.37949,3.5398,0.52446,0.11603,1.0183,-0.20129,-0.10432,-0.22025,0.28246,0.53979,-0.98981,-0.3338,0.33967,0.42538,-0.38407,0.079325,-0.08977,0.18659,0.20507,-0.4098,0.094407,0.35356,0.067601,-0.44025,-0.28011,0.77413,0.78139,0.44246,-0.45711,-0.50352,-0.054437,-0.57321,1.0113,0.52771,0.55899,-0.48733,-0.24187,0.3781,0.92433,0.31903,-0.63388,0.046949,-0.95949,0.97102,0.050803,-0.1492,-0.55389,0.35823,1.1072,0.54538,-0.75715,0.94141,0.50537,-0.8726,1.6142,-0.042542,0.4322,-1.1755,0.31144,0.22073,-1.003,0.62983,-0.24773,-0.45518,-0.52118,1.0772,0.44157,0.72543,0.48212,0.097488,-0.30135
12,0.076143,-0.24717,0.40116,-0.44052,0.47109,-0.1377,-0.71907,0.13098,-0.17572,-0.03577,-0.25182,0.22588,-0.76386,0.24249,0.46617,0.10661,0.42314,-0.54628,-0.23715,-0.65187,-0.077369,0.28766,0.10809,-0.45786,0.067866,-1.8636,0.1389,0.17133,0.24996,-0.6366,3.2279,0.56937,-0.653,0.055097,-0.28294,0.17188,0.17931,0.49549,0.33623,-0.49653,0.10105,0.1834,0.095534,0.049611,-0.028313,0.27312,-0.24849,0.14717,0.11502,-0.25162,0.18543501,-0.048284993,-0.38280502,0.712375,0.390575,-0.37958503,-0.029399991,-0.036920004,0.7057862,0.17063001,0.515545,0.723665,1.073725,0.91267,-0.267295,0.031985,-0.58089,0.997035,-0.08939999,-0.808285,0.7507655,-1.2032499,0.2842355,0.459066,-0.33999,-0.600895,0.20236999,1.193085,1.050245,-0.019217,0.808564,-0.096428506,0.14401999,0.97291994,0.42161,0.672685,-0.17783499,0.837965,-0.006669998,0.289056,0.97013,-0.10214999,0.35850003,0.19758551,0.24121,0.46420997,-0.216146,0.11141501,0.8955,-0.47750503
13,0.25322,-0.34355,0.79544,-0.67276,0.030686,0.5094,-0.4479,-0.18801,-0.017476,-0.34959,-0.52884,-0.15356,-0.16261,0.14659,0.48336,0.38471,0.2326,-0.37369,0.10151,-1.0127,0.37486,-0.78136,0.314,-0.61849,-0.62249,-1.2987,0.37412,0.84641,0.38115,-0.37949,3.5398,0.52446,0.11603,1.0183,-0.20129,-0.10432,-0.22025,0.28246,0.53979,-0.98981,-0.3338,0.33967,0.42538,-0.38407,0.079325,-0.08977,0.18659,0.20507,-0.4098,0.094407,0.0099727,0.27951,-0.92119,0.0087638,0.71206,-0.29834,0.60247,-0.13617,-1.0734,-0.088431,-1.0597,0.38107,1.1156,0.27397,-0.55001,-0.29295,0.028922,0.40802,-0.59995,-0.19854,0.26314,-1.734,1.8612,0.18616,-1.2123,-0.058504,0.37557,1.7417,1.0782,-0.72126,1.514,-0.51227,0.2119,0.95161,-0.63633,0.65343,-1.0067,0.5847,0.63047,-0.96966,1.2346,-0.05274,-0.61803,-0.56434,1.2664,1.7918,0.58051,-0.17542,-0.42648,-0.10229
14,-0.062761,0.81904,-0.067769,1.0728,-0.48884,-0.53659,-0.39512,0.29684,-0.24994,-0.64616,-0.38994,-1.0181,-0.74659,0.5638,0.62756,0.84303,0.1374,-0.54534,-0.16795,-0.43048,0.18814,0.16537,-0.1674,0.59948,-0.16904,-1.1376,0.36256,0.19763,0.010075,-0.3838,3.5756,0.045535,-0.52057,0.32947,-0.36942,-0.37348,0.31756,0.81132,-0.044679,-0.79792,0.22949,-0.73993,0.90041,0.46883,0.4512,0.6644,0.24931,-0.88062,-0.042584,-0.21827,-0.44933,-0.029444,0.57296,-0.45214,0.92769,-0.50868,0.2583,0.040071,0.38096,-0.71797,-0.45572,0.21411,-0.64431,1.4169,0.62377,0.27238,-0.59077,0.18023,1.357,-0.68028,1.0149,-0.23861,0.20119,0.54845,-0.53386,-0.73782,-1.0332,1.2281,0.56946,-0.48784,0.36059,-0.0064226,0.28632,0.6696,0.0017163,1.5707,-0.34028,0.89638,1.1332,-0.78836,0.74014,0.083619,0.040407,0.71757,-0.35058,-0.29821,1.056,-0.17812,0.38516,-0.8565
15,0.62257,0.071858,0.024343,-0.12574,0.31062,-0.2258,-0.34277,0.50858,-0.13264,-0.068181,-0.21331,0.27151,-0.44914,0.076563,0.54888,0.58235,0.46806,-0.3486,-0.14855,-0.81118,0.26717,0.24443,0.016739,0.04569,0.23783,-1.9723,-0.067601,-0.50336,0.21409,-0.48434,3.5853,1.1371,-1.1428,-0.058785,0.2457,-0.16272,0.17293,0.18225,0.0188,-0.52325,-0.34459,0.035117,0.27834,0.18419,0.23106,0.13612,0.021502,0.18111,0.038953,0.23854,-0.63773,0.83063,-0.26741,0.92461,0.47251,0.29511,-0.31165,0.49289,-0.10176,-0.66635,0.20884,0.33366,0.51571,0.97914,-0.15615,-0.51083,-0.11238,-0.24715,-0.68595,-1.3808,-0.0767,-1.3366,0.37579,-0.13996,0.31216,-0.66554,0.29805,1.2569,0.94895,-1.1671,2.1986,-0.039899,0.057112,0.63481,-0.58989,0.48842,0.10233,1.0525,0.44279,0.17923,0.53623,0.16626,-0.16491,0.31953,-0.61487,-0.15407,0.57715,-0.30956,0.10163,-0.66864
16,0.62257,0.071858,0.024343,-0.12574,0.31062,-0.2258,-0.34277,0.50858,-0.13264,-0.068181,-0.21331,0.27151,-0.44914,0.076563,0.54888,0.58235,0.46806,-0.3486,-0.14855,-0.81118,0.26717,0.24443,0.016739,0.04569,0.23783,-1.9723,-0.067601,-0.50336,0.21409,-0.48434,3.5853,1.1371,-1.1428,-0.058785,0.2457,-0.16272,0.17293,0.18225,0.0188,-0.52325,-0.34459,0.035117,0.27834,0.18419,0.23106,0.13612,0.021502,0.18111,0.038953,0.23854,-1.5491,0.6169,-0.28192,1.1088,0.070226,-0.39293,-0.85833,0.23562,-0.092116,-0.2479,-0.49193,0.2869,0.17158,0.19466,0.40086,0.53626,-0.24186,0.59343,-1.6473,-0.41177,-0.15598,-1.0264,1.5462,-0.33489,-1.0415,-1.0938,-0.49959,0.44622,1.2927,-0.61908,1.7843,1.1887,-1.0404,0.038716,0.4504,0.96851,-0.15772,1.1836,0.29166,-1.1253,-0.11255,0.012885,-1.51,0.56901,-0.48604,2.0839,0.06506,0.016635,-0.6365,0.064266
17,0.076143,-0.24717,0.40116,-0.44052,0.47109,-0.1377,-0.71907,0.13098,-0.17572,-0.03577,-0.25182,0.22588,-0.76386,0.24249,0.46617,0.10661,0.42314,-0.54628,-0.23715,-0.65187,-0.077369,0.28766,0.10809,-0.45786,0.067866,-1.8636,0.1389,0.17133,0.24996,-0.6366,3.2279,0.56937,-0.653,0.055097,-0.28294,0.17188,0.17931,0.49549,0.33623,-0.49653,0.10105,0.1834,0.095534,0.049611,-0.028313,0.27312,-0.24849,0.14717,0.11502,-0.25162,-1.5491,0.6169,-0.28192,1.1088,0.070226,-0.39293,-0.85833,0.23562,-0.092116,-0.2479,-0.49193,0.2869,0.17158,0.19466,0.40086,0.53626,-0.24186,0.59343,-1.6473,-0.41177,-0.15598,-1.0264,1.5462,-0.33489,-1.0415,-1.0938,-0.49959,0.44622,1.2927,-0.61908,1.7843,1.1887,-1.0404,0.038716,0.4504,0.96851,-0.15772,1.1836,0.29166,-1.1253,-0.11255,0.012885,-1.51,0.56901,-0.48604,2.0839,0.06506,0.016635,-0.6365,0.064266
18,0.076143,-0.24717,0.40116,-0.44052,0.47109,-0.1377,-0.71907,0.13098,-0.17572,-0.03577,-0.25182,0.22588,-0.76386,0.24249,0.46617,0.10661,0.42314,-0.54628,-0.23715,-0.65187,-0.077369,0.28766,0.10809,-0.45786,0.067866,-1.8636,0.1389,0.17133,0.24996,-0.6366,3.2279,0.56937,-0.653,0.055097,-0.28294,0.17188,0.17931,0.49549,0.33623,-0.49653,0.10105,0.1834,0.095534,0.049611,-0.028313,0.27312,-0.24849,0.14717,0.11502,-0.25162,-0.16883332,0.053962667,0.64003664,0.03682999,0.30554,-0.48361,-0.6730533,-0.21526666,0.87707996,-0.009483337,-0.40397,0.21791466,0.38879666,0.82132006,0.7956333,-0.14696,0.18193664,0.9718401,0.07076668,-0.9712667,1.0831333,-0.5432467,0.22646368,0.17752732,-0.015576661,-0.89503,0.08034667,1.4514666,1.5194999,-0.43753335,1.2210666,-0.07078334,0.018786667,0.15402664,-0.23794001,1.3892533,0.16022332,0.15876,0.74833995,0.42197335,0.26708266,-0.09667,0.36924145,0.35476366,-0.04894,0.061421335,-0.6153,-0.32634333,1.1653,-0.9940567
19,0.076143,-0.24717,0.40116,-0.44052,0.47109,-0.1377,-0.71907,0.13098,-0.17572,-0.03577,-0.25182,0.22588,-0.76386,0.24249,0.46617,0.10661,0.42314,-0.54628,-0.23715,-0.65187,-0.077369,0.28766,0.10809,-0.45786,0.067866,-1.8636,0.1389,0.17133,0.24996,-0.6366,3.2279,0.56937,-0.653,0.055097,-0.28294,0.17188,0.17931,0.49549,0.33623,-0.49653,0.10105,0.1834,0.095534,0.049611,-0.028313,0.27312,-0.24849,0.14717,0.11502,-0.25162,-0.63773,0.83063,-0.26741,0.92461,0.47251,0.29511,-0.31165,0.49289,-0.10176,-0.66635,0.20884,0.33366,0.51571,0.97914,-0.15615,-0.51083,-0.11238,-0.24715,-0.68595,-1.3808,-0.0767,-1.3366,0.37579,-0.13996,0.31216,-0.66554,0.29805,1.2569,0.94895,-1.1671,2.1986,-0.039899,0.057112,0.63481,-0.58989,0.48842,0.10233,1.0525,0.44279,0.17923,0.53623,0.16626,-0.16491,0.31953,-0.61487,-0.15407,0.57715,-0.30956,0.10163,-0.66864
20,0.25322,-0.34355,0.79544,-0.67276,0.030686,0.5094,-0.4479,-0.18801,-0.017476,-0.34959,-0.52884,-0.15356,-0.16261,0.14659,0.48336,0.38471,0.2326,-0.37369,0.10151,-1.0127,0.37486,-0.78136,0.314,-0.61849,-0.62249,-1.2987,0.37412,0.84641,0.38115,-0.37949,3.5398,0.52446,0.11603,1.0183,-0.20129,-0.10432,-0.22025,0.28246,0.53979,-0.98981,-0.3338,0.33967,0.42538,-0.38407,0.079325,-0.08977,0.18659,0.20507,-0.4098,0.094407,-0.402377,-0.197939,-0.37698436,0.644855,0.687695,0.4089,-0.23356001,0.21202901,-0.2733095,-0.40941,-0.227555,0.58287,0.06535499,-0.303491,-0.28557,-0.17071,-0.297085,0.3115,-0.69708,-0.974455,0.164943,-0.016610004,0.906415,-0.1470245,-0.6348735,-0.534365,0.509245,0.3917745,0.39568,-0.821805,1.83595,-0.687955,0.21000499,0.721725,0.190161,0.14864999,-0.3461,0.152485,1.011185,-0.37703,1.035135,0.36189002,-0.3036065,-0.414489,0.94892,1.0214,-0.028214004,-0.553895,-0.93602,0.47009
21,0.076143,-0.24717,0.40116,-0.44052,0.47109,-0.1377,-0.71907,0.13098,-0.17572,-0.03577,-0.25182,0.22588,-0.76386,0.24249,0.46617,0.10661,0.42314,-0.54628,-0.23715,-0.65187,-0.077369,0.28766,0.10809,-0.45786,0.067866,-1.8636,0.1389,0.17133,0.24996,-0.6366,3.2279,0.56937,-0.653,0.055097,-0.28294,0.17188,0.17931,0.49549,0.33623,-0.49653,0.10105,0.1834,0.095534,0.049611,-0.028313,0.27312,-0.24849,0.14717,0.11502,-0.25162,-0.28654,0.1464095,-0.855545,-0.58459,0.088406995,0.19846301,-0.04884,-0.29407,0.310395,0.28542548,-0.294305,0.1404425,1.10251,0.81802,0.43400502,0.014741,0.0334785,0.89839,0.49374676,-0.80901504,1.19425,0.1527,0.194295,0.629435,0.552685,0.0049550086,-0.1944965,0.134615,1.188025,0.399625,1.114255,-0.07309,-0.534135,0.64198,0.30115,1.44895,-0.0291,1.3871,0.85325503,0.46079,0.756935,0.19673002,0.057605006,0.69698447,0.98466,0.46666998,0.57795,0.04512,0.37149802,0.1899665
